scenario,cost_line,time_line,plan_file
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 411.4 : 412.55 | cr=35, dd=0, da=3, tlv=0, sm=60, rd=166.00, cd=0, um=0","Time elapsed: 3.99 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 381.4 : 382.55 | cr=32, dd=0, da=3, tlv=0, sm=60, rd=166.00, cd=0, um=0","Time elapsed: 4.05 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 331.4 : 332.55 | cr=27, dd=0, da=3, tlv=0, sm=60, rd=170.00, cd=0, um=0","Time elapsed: 4.12 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 305.9 : 312.10 | cr=27, dd=0, da=1, tlv=1, sm=60, rd=168.00, cd=0, um=0","Time elapsed: 4.20 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 265.9 : 272.10 | cr=23, dd=0, da=1, tlv=1, sm=60, rd=168.00, cd=0, um=0","Time elapsed: 4.63 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 240.9 : 252.10 | cr=19, dd=0, da=1, tlv=2, sm=60, rd=172.00, cd=0, um=0","Time elapsed: 5.02 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 220.0 : 231.20 | cr=19, dd=0, da=0, tlv=2, sm=60, rd=164.00, cd=0, um=0","Time elapsed: 5.46 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 195.9 : 212.10 | cr=13, dd=0, da=1, tlv=3, sm=60, rd=175.00, cd=0, um=0","Time elapsed: 6.12 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 170.9 : 192.10 | cr=9, dd=0, da=1, tlv=4, sm=60, rd=177.00, cd=0, um=0","Time elapsed: 6.53 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 155.9 : 172.12 | cr=9, dd=0, da=1, tlv=3, sm=61, rd=178.03, cd=0, um=0","Time elapsed: 7.85 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 145.9 : 162.12 | cr=8, dd=0, da=1, tlv=3, sm=61, rd=178.03, cd=0, um=0","Time elapsed: 8.48 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 130.9 : 142.14 | cr=8, dd=0, da=1, tlv=2, sm=62, rd=177.10, cd=0, um=0","Time elapsed: 9.06 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 120.9 : 132.14 | cr=7, dd=0, da=1, tlv=2, sm=62, rd=173.23, cd=0, um=0","Time elapsed: 9.68 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 100.9 : 112.14 | cr=5, dd=0, da=1, tlv=2, sm=62, rd=173.23, cd=0, um=0","Time elapsed: 10.19 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 90.9 : 102.14 | cr=4, dd=0, da=1, tlv=2, sm=62, rd=169.35, cd=0, um=0","Time elapsed: 10.72 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 80.9 : 92.16 | cr=3, dd=0, da=1, tlv=2, sm=63, rd=170.48, cd=0, um=0","Time elapsed: 11.10 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 70.9 : 82.18 | cr=2, dd=0, da=1, tlv=2, sm=64, rd=169.69, cd=0, um=0","Time elapsed: 11.48 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 60.9 : 72.22 | cr=1, dd=0, da=1, tlv=2, sm=66, rd=168.18, cd=0, um=0","Time elapsed: 11.85 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 55.0 : 71.32 | cr=1, dd=0, da=0, tlv=3, sm=66, rd=164.55, cd=0, um=0","Time elapsed: 12.19 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 40.0 : 51.32 | cr=1, dd=0, da=0, tlv=2, sm=66, rd=163.64, cd=0, um=0","Time elapsed: 12.64 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of next node: Cost = 25.0 : 31.32 | cr=1, dd=0, da=0, tlv=1, sm=66, rd=163.64, cd=0, um=0","Time elapsed: 16.40 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units19.json","Cost of solution: Cost = 0.0 : 1.32 | cr=0, dd=0, da=0, tlv=0, sm=66, rd=160.91, cd=0, um=0","Total computation time: 00:01:03.3018488","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units19.json"
"/home/thomasverwaal/Robust-Rail-NL/mathematical-models/scenarios_solver_types/scenario_solver_30_trains_10_units2.json","Cost of next node: Cost = 391.2 : 392.40 | cr=35, dd=0, da=2, tlv=0, sm=60, rd=172.00, cd=0, um=0","Time elapsed: 4.12 seconds","/home/thomasverwaal/Robust-Rail-NL/mathematical-models/local_search_plans_discreet/plan_30_trains_10_units2.json"
